         14553892 function calls (14337740 primitive calls) in 35.075 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2864    0.001    0.000    0.009    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/_methods.py:44(_any)
     1200    0.003    0.000    0.009    0.000 /opt/ros/noetic/lib/python3/dist-packages/genpy/rostime.py:247(__sub__)
      601    0.009    0.000    0.009    0.000 {function Graph.delete_edges at 0x7f0956115e50}
     1202    0.006    0.000    0.009    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/linalg/linalg.py:144(_commonType)
     1533    0.008    0.000    0.009    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/hd_map/libs/quadratic_spline_interpolate.py:14(<listcomp>)
      601    0.003    0.000    0.009    0.000 /opt/ros/noetic/lib/python3/dist-packages/rospy/rostime.py:183(get_rostime)
     2404    0.005    0.000    0.009    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/linalg/linalg.py:116(_makearray)
   152765    0.009    0.000    0.009    0.000 {method 'is_dir' of 'posix.DirEntry' objects}
     3066    0.002    0.000    0.009    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:97(take)
        1    0.000    0.000    0.009    0.009 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/ltpl.py:47(set_start_pos)
     4658    0.009    0.000    0.009    0.000 {method 'get_eid' of 'igraph.Graph' objects}
        1    0.000    0.000    0.009    0.009 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/Graph_LTPL.py:262(set_startpos)
        1    0.004    0.004    0.009    0.009 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/online_graph/src/OnlineTrajectoryHandler.py:181(set_initial_pose)
      601    0.003    0.000    0.008    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/numeric.py:720(convolve)
    17732    0.008    0.000    0.008    0.000 /opt/ros/noetic/lib/python3/dist-packages/genpy/rostime.py:39(_canon)
       13    0.000    0.000    0.008    0.001 /usr/lib/python3.8/xmlrpc/client.py:1108(__call__)
       13    0.000    0.000    0.008    0.001 /opt/ros/noetic/lib/python3/dist-packages/rospy/core.py:667(_ServerProxy__request)
       13    0.000    0.000    0.008    0.001 /usr/lib/python3.8/xmlrpc/client.py:1444(__request)
       13    0.000    0.000    0.008    0.001 /usr/lib/python3.8/xmlrpc/client.py:1149(request)
       13    0.000    0.000    0.008    0.001 /usr/lib/python3.8/xmlrpc/client.py:1162(single_request)
     1202    0.001    0.000    0.008    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:440(repeat)
     3066    0.002    0.000    0.008    0.000 <__array_function__ internals>:2(rollaxis)
      275    0.007    0.000    0.007    0.000 {method '_parse_whole' of 'xml.etree.ElementTree.XMLParser' objects}
      600    0.002    0.000    0.007    0.000 /opt/ros/noetic/lib/python3/dist-packages/genpy/rostime.py:361(__mul__)
        2    0.004    0.002    0.007    0.004 {method 'read' of '_io.TextIOWrapper' objects}
      602    0.001    0.000    0.007    0.000 <__array_function__ internals>:2(atleast_2d)
        8    0.000    0.000    0.007    0.001 /opt/ros/noetic/lib/python3/dist-packages/rospy/topics.py:119(__init__)
       10    0.000    0.000    0.007    0.001 /opt/ros/noetic/lib/python3/dist-packages/rospy/impl/registration.py:142(notify_added)
       10    0.000    0.000    0.007    0.001 /opt/ros/noetic/lib/python3/dist-packages/rospy/impl/registration.py:423(reg_added)
      600    0.005    0.000    0.007    0.000 /home/kana/catkin_ws/devel/lib/python3/dist-packages/drive_msgs/msg/_NavigationData.py:33(__init__)
        8    0.000    0.000    0.007    0.001 /opt/ros/noetic/lib/python3/dist-packages/rospy/topics.py:1242(acquire_impl)
    35658    0.007    0.000    0.007    0.000 /home/kana/.local/lib/python3.8/site-packages/igraph/__init__.py:2670(vs)
     1202    0.002    0.000    0.007    0.000 <__array_function__ internals>:2(copy)
     1202    0.003    0.000    0.006    0.000 {method 'all' of 'numpy.generic' objects}
      601    0.002    0.000    0.006    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/online_graph/src/calc_splines_opt.py:16(<listcomp>)
     1202    0.001    0.000    0.006    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:446(__exit__)
        8    0.000    0.000    0.006    0.001 /opt/ros/noetic/lib/python3/dist-packages/rospy/topics.py:1179(_add)
    19291    0.003    0.000    0.006    0.000 /usr/lib/python3.8/posixpath.py:41(_get_sep)
    20832    0.006    0.000    0.006    0.000 {method 'split' of 'str' objects}
     1800    0.006    0.000    0.006    0.000 {method 'argmin' of 'numpy.ndarray' objects}
      602    0.004    0.000    0.005    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/shape_base.py:83(atleast_2d)
     1805    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
        6    0.000    0.000    0.005    0.001 /opt/ros/noetic/lib/python3/dist-packages/rospy/topics.py:812(__init__)
     3005    0.003    0.000    0.005    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/lib/twodim_base.py:99(flipud)
     5218    0.005    0.000    0.005    0.000 {built-in method numpy.core._multiarray_umath.interp}
     3066    0.005    0.000    0.005    0.000 {method 'take' of 'numpy.ndarray' objects}
     3606    0.005    0.000    0.005    0.000 {built-in method numpy.zeros}
     7950    0.005    0.000    0.005    0.000 {built-in method builtins.max}
     3609    0.002    0.000    0.005    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/lib/shape_base.py:608(_column_stack_dispatcher)
     1202    0.005    0.000    0.005    0.000 {method 'repeat' of 'numpy.ndarray' objects}
     2404    0.004    0.000    0.005    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:139(geterr)
       13    0.000    0.000    0.005    0.000 /usr/lib/python3.8/http/client.py:1304(getresponse)
    12394    0.005    0.000    0.005    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
     9474    0.005    0.000    0.005    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:74(<dictcomp>)
       13    0.000    0.000    0.005    0.000 /usr/lib/python3.8/http/client.py:309(begin)
      600    0.002    0.000    0.004    0.000 /opt/ros/noetic/lib/python3/dist-packages/genpy/rostime.py:350(__sub__)
    11656    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
    14130    0.004    0.000    0.004    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/multiarray.py:145(concatenate)
     9604    0.004    0.000    0.004    0.000 {built-in method math.atan2}
     1802    0.002    0.000    0.004    0.000 /usr/lib/python3.8/threading.py:261(_is_owned)
     4710    0.004    0.000    0.004    0.000 /opt/ros/noetic/lib/python3/dist-packages/std_msgs/msg/_ColorRGBA.py:22(__init__)
     1202    0.003    0.000    0.004    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/online_graph/src/calc_splines_opt.py:5(isclose)
    12015    0.004    0.000    0.004    0.000 {built-in method builtins.abs}
    18422    0.004    0.000    0.004    0.000 {method 'split' of 're.Pattern' objects}
    31033    0.004    0.000    0.004    0.000 /home/kana/catkin_ws/devel/lib/python3/dist-packages/drive_msgs/msg/_NavigationData.py:212(_get_struct_3d)
     4710    0.004    0.000    0.004    0.000 /opt/ros/noetic/lib/python3/dist-packages/geometry_msgs/msg/_Quaternion.py:24(__init__)
     3066    0.002    0.000    0.004    0.000 /home/kana/.local/lib/python3.8/site-packages/scipy/interpolate/interpolate.py:549(fill_value)
    30433    0.004    0.000    0.004    0.000 /opt/ros/noetic/lib/python3/dist-packages/visualization_msgs/msg/_Marker.py:520(_get_struct_3d)
     4211    0.002    0.000    0.004    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/shape_base.py:209(_arrays_for_stack_dispatcher)
     1201    0.002    0.000    0.004    0.000 /opt/ros/noetic/lib/python3/dist-packages/rospy/topics.py:976(acquire)
     3066    0.003    0.000    0.004    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/numeric.py:1215(rollaxis)
      600    0.001    0.000    0.004    0.000 /opt/ros/noetic/lib/python3/dist-packages/genpy/rostime.py:160(__gt__)
      371    0.000    0.000    0.004    0.000 /usr/lib/python3.8/codecs.py:319(decode)
     2858    0.004    0.000    0.004    0.000 {function EdgeSeq.select at 0x7f095611b430}
     5218    0.003    0.000    0.004    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/lib/type_check.py:280(iscomplexobj)
     6459    0.004    0.000    0.004    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3079(size)
        7    0.000    0.000    0.004    0.001 /usr/lib/python3.8/configparser.py:679(read)
     1202    0.001    0.000    0.004    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/lib/function_base.py:730(copy)
      600    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(argmin)
    18716    0.003    0.000    0.003    0.000 /usr/lib/python3/dist-packages/rospkg/rospack.py:102(<listcomp>)
      289    0.003    0.000    0.003    0.000 {built-in method io.open}
      600    0.001    0.000    0.003    0.000 /opt/ros/noetic/lib/python3/dist-packages/genpy/rostime.py:146(__lt__)
      371    0.003    0.000    0.003    0.000 {built-in method _codecs.utf_8_decode}
     1202    0.001    0.000    0.003    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/_methods.py:47(_all)
       13    0.000    0.000    0.003    0.000 /usr/lib/python3.8/http/client.py:276(_read_status)
     1202    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(where)
       78    0.000    0.000    0.003    0.000 {method 'readline' of '_io.BufferedReader' objects}
       13    0.000    0.000    0.003    0.000 /usr/lib/python3.8/socket.py:655(readinto)
       13    0.003    0.000    0.003    0.000 {method 'recv_into' of '_socket.socket' objects}
      601    0.003    0.000    0.003    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/data_objects/ObjectListInterface.py:75(process_object_list)
     1201    0.002    0.000    0.003    0.000 /opt/ros/noetic/lib/python3/dist-packages/rospy/msg.py:81(args_kwds_to_message)
      601    0.003    0.000    0.003    0.000 {built-in method numpy.core._multiarray_umath.correlate}
        1    0.000    0.000    0.003    0.003 /home/kana/catkin_ws/src/mobinha-racing/planning/ros_handler.py:28(set_publisher_protocol)
      600    0.002    0.000    0.003    0.000 /opt/ros/noetic/lib/python3/dist-packages/genpy/rostime.py:261(__cmp__)
    35104    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
      152    0.000    0.000    0.003    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/hd_map/libs/map_utils.py:144(Points)
     1202    0.002    0.000    0.003    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:437(__init__)
    10700    0.003    0.000    0.003    0.000 {built-in method math.pow}
    20083    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.003    0.003 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/data_objects/GraphBase.py:316(get_closest_nodes)
    38360    0.003    0.000    0.003    0.000 {built-in method posix.fspath}
      600    0.001    0.000    0.003    0.000 /opt/ros/noetic/lib/python3/dist-packages/genpy/rostime.py:443(__cmp__)
        1    0.000    0.000    0.003    0.003 /opt/ros/noetic/lib/python3/dist-packages/rospy/impl/rosout.py:64(init_rosout)
     1805    0.003    0.000    0.003    0.000 {method 'acquire' of '_thread.lock' objects}
     4671    0.002    0.000    0.002    0.000 /home/kana/.local/lib/python3.8/site-packages/igraph/__init__.py:2675(es)
      601    0.002    0.000    0.002    0.000 {built-in method _bisect.bisect_left}
     1269    0.002    0.000    0.002    0.000 {method 'acquire' of '_thread.RLock' objects}
     6132    0.002    0.000    0.002    0.000 /home/kana/.local/lib/python3.8/site-packages/scipy/interpolate/interpolate.py:333(_do_extrapolate)
    18424    0.002    0.000    0.002    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/lib/_iotools.py:20(_decode_line)
    39370    0.002    0.000    0.002    0.000 /opt/ros/noetic/lib/python3/dist-packages/visualization_msgs/msg/_MarkerArray.py:577(_get_struct_3d)
    19293    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
     4710    0.002    0.000    0.002    0.000 /opt/ros/noetic/lib/python3/dist-packages/geometry_msgs/msg/_Vector3.py:27(__init__)
      275    0.000    0.000    0.002    0.000 /usr/lib/python3.8/xml/etree/ElementTree.py:629(find)
        7    0.001    0.000    0.002    0.000 /usr/lib/python3.8/configparser.py:993(_read)
     2400    0.002    0.000    0.002    0.000 /opt/ros/noetic/lib/python3/dist-packages/genpy/rostime.py:121(to_nsec)
    19935    0.002    0.000    0.002    0.000 {method 'strip' of 'str' objects}
       13    0.000    0.000    0.002    0.000 /usr/lib/python3.8/xmlrpc/client.py:1265(send_request)
      626    0.001    0.000    0.002    0.000 /usr/lib/python3.8/logging/__init__.py:1424(debug)
     2864    0.001    0.000    0.002    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/numeric.py:1786(isscalar)
     1202    0.002    0.000    0.002    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/linalg/linalg.py:111(get_linalg_error_extobj)
      600    0.001    0.000    0.002    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1193(argmin)
    10320    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 /home/kana/catkin_ws/src/mobinha-racing/planning/ros_handler.py:35(set_subscriber_protocol)
        2    0.000    0.000    0.002    0.001 /opt/ros/noetic/lib/python3/dist-packages/rospy/topics.py:514(__init__)
      275    0.000    0.000    0.002    0.000 {method 'find' of 'xml.etree.ElementTree.Element' objects}
     1805    0.002    0.000    0.002    0.000 {method 'difference_update' of 'set' objects}
     1973    0.001    0.000    0.002    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/numeric.py:1327(<listcomp>)
     1201    0.001    0.000    0.002    0.000 /opt/ros/noetic/lib/python3/dist-packages/rospy/topics.py:981(release)
     2404    0.002    0.000    0.002    0.000 {built-in method numpy.seterrobj}
     3606    0.001    0.000    0.002    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/linalg/linalg.py:121(isComplexType)
     1627    0.002    0.000    0.002    0.000 {method 'extend' of 'list' objects}
     3680    0.002    0.000    0.002    0.000 {built-in method builtins.sum}
      275    0.000    0.000    0.002    0.000 /usr/lib/python3.8/xml/etree/ElementPath.py:388(find)
      601    0.002    0.000    0.002    0.000 {method 'get_eids' of 'igraph.Graph' objects}
     2404    0.001    0.000    0.002    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/linalg/linalg.py:134(_realType)
     7355    0.002    0.000    0.002    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/lib/function_base.py:1137(_diff_dispatcher)
      601    0.001    0.000    0.002    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/numeric.py:637(_mode_from_name)
       13    0.000    0.000    0.002    0.000 /usr/lib/python3.8/xmlrpc/client.py:1299(send_content)
      602    0.001    0.000    0.002    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/shape_base.py:220(_vhstack_dispatcher)
     3613    0.002    0.000    0.002    0.000 {built-in method time.time}
       13    0.000    0.000    0.002    0.000 /usr/lib/python3.8/http/client.py:1240(endheaders)
       13    0.000    0.000    0.002    0.000 /usr/lib/python3.8/http/client.py:1002(_send_output)
       26    0.000    0.000    0.001    0.000 /usr/lib/python3.8/http/client.py:943(send)
        2    0.000    0.000    0.001    0.001 /opt/ros/noetic/lib/python3/dist-packages/rospy/impl/tcpros_service.py:690(__init__)
     3744    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
     1201    0.001    0.000    0.001    0.000 {built-in method _struct.pack}
     1803    0.001    0.000    0.001    0.000 {method 'rindex' of 'str' objects}
     1803    0.001    0.000    0.001    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/data_objects/GraphBase.py:785(activate_filter)
        1    0.000    0.000    0.001    0.001 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/online_graph/src/OnlineTrajectoryHandler.py:32(__init__)
     3673    0.001    0.000    0.001    0.000 {built-in method math.sqrt}
        1    0.000    0.000    0.001    0.001 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/online_graph/src/check_inside_bounds.py:7(check_inside_bounds)
     1201    0.001    0.000    0.001    0.000 {method 'tolist' of 'numpy.ndarray' objects}
     6459    0.001    0.000    0.001    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3075(_size_dispatcher)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.8/http/client.py:920(connect)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.8/socket.py:771(create_connection)
      601    0.001    0.000    0.001    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/online_graph/src/VpForwardBackward.py:86(check_brake_prefix)
     1202    0.001    0.000    0.001    0.000 {built-in method math.sin}
      601    0.001    0.000    0.001    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/online_graph/src/VpForwardBackward.py:65(update_dyn_parameters)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.8/socket.py:901(getaddrinfo)
        1    0.000    0.000    0.001    0.001 {built-in method _socket.getaddrinfo}
       13    0.000    0.000    0.001    0.000 /usr/lib/python3.8/http/client.py:222(parse_headers)
     6317    0.001    0.000    0.001    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/lib/function_base.py:4636(_append_dispatcher)
        2    0.000    0.000    0.001    0.001 /opt/ros/noetic/lib/python3/dist-packages/rospy/service.py:97(register)
     4808    0.001    0.000    0.001    0.000 {built-in method numpy.geterrobj}
     4806    0.001    0.000    0.001    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/multiarray.py:1043(copyto)
      605    0.001    0.000    0.001    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/lib/shape_base.py:600(<listcomp>)
     4804    0.001    0.000    0.001    0.000 {method 'seek' of '_io.BytesIO' objects}
      709    0.000    0.000    0.001    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/offline_graph/src/main_offline_callback.py:204(<lambda>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.8/logging/config.py:51(fileConfig)
       13    0.000    0.000    0.001    0.000 /usr/lib/python3.8/email/parser.py:59(parsestr)
       13    0.000    0.000    0.001    0.000 /usr/lib/python3.8/email/parser.py:41(parse)
      711    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
     1818    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.8/encodings/__init__.py:70(search_function)
     4232    0.001    0.000    0.001    0.000 {built-in method _operator.index}
        2    0.000    0.000    0.001    0.000 {built-in method builtins.__import__}
      633    0.001    0.000    0.001    0.000 /usr/lib/python3.8/logging/__init__.py:1689(isEnabledFor)
       13    0.000    0.000    0.001    0.000 /usr/lib/python3.8/xmlrpc/client.py:1316(parse_response)
     1202    0.001    0.000    0.001    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/linalg/linalg.py:209(_assert_stacked_square)
      2/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:986(_find_and_load)
        7    0.000    0.000    0.001    0.000 /usr/lib/python3.8/logging/__init__.py:1565(_log)
     4804    0.001    0.000    0.001    0.000 {method 'tell' of '_io.BytesIO' objects}
      2/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     3334    0.001    0.000    0.001    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2401(_cumsum_dispatcher)
     5218    0.001    0.000    0.001    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/lib/type_check.py:207(_is_type_dispatcher)
        2    0.000    0.000    0.001    0.000 /opt/ros/noetic/lib/python3/dist-packages/rospy/topics.py:604(__init__)
        2    0.000    0.000    0.001    0.000 /opt/ros/noetic/lib/python3/dist-packages/rospy/impl/statistics.py:52(is_enabled)
        2    0.000    0.000    0.001    0.000 /opt/ros/noetic/lib/python3/dist-packages/rospy/client.py:452(get_param)
        2    0.001    0.000    0.001    0.000 {built-in method builtins.print}
     3605    0.001    0.000    0.001    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2087(_sum_dispatcher)
      2/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:650(_load_unlocked)
     5218    0.001    0.000    0.001    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/lib/function_base.py:1274(_interp_dispatcher)
        2    0.000    0.000    0.001    0.000 /opt/ros/noetic/lib/python3/dist-packages/rospy/msproxy.py:107(__getitem__)
      2/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:842(exec_module)
     3016    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
     1202    0.001    0.000    0.001    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/linalg/linalg.py:203(_assert_stacked_2d)
        6    0.000    0.000    0.001    0.000 /usr/lib/python3.8/logging/__init__.py:1436(info)
     1209    0.001    0.000    0.001    0.000 /opt/ros/noetic/lib/python3/dist-packages/rospy/core.py:421(is_initialized)
  742/321    0.001    0.000    0.001    0.000 /usr/lib/python3.8/xml/etree/ElementPath.py:164(select)
      600    0.001    0.000    0.001    0.000 /opt/ros/noetic/lib/python3/dist-packages/genpy/rostime.py:115(to_sec)
     3005    0.001    0.000    0.001    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2320(_all_dispatcher)
     2417    0.001    0.000    0.001    0.000 /opt/ros/noetic/lib/python3/dist-packages/rospy/core.py:458(is_shutdown)
      601    0.001    0.000    0.001    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/online_graph/src/OnlineTrajectoryHandler.py:272(update_objects)
       13    0.000    0.000    0.001    0.000 /usr/lib/python3.8/email/feedparser.py:173(feed)
      601    0.001    0.000    0.001    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/online_graph/src/OnlineTrajectoryHandler.py:1026(<listcomp>)
     1202    0.001    0.000    0.001    0.000 {built-in method math.cos}
     1201    0.001    0.000    0.001    0.000 /opt/ros/noetic/lib/python3/dist-packages/rospy/topics.py:351(has_connections)
      2/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      2/1    0.000    0.000    0.001    0.001 {built-in method builtins.exec}
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.8/encodings/idna.py:3(<module>)
        1    0.000    0.000    0.001    0.001 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/Graph_LTPL.py:41(__init__)
      601    0.001    0.000    0.001    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/online_graph/src/OnlineTrajectoryHandler.py:1046(<listcomp>)
       26    0.000    0.000    0.001    0.000 /usr/lib/python3.8/email/feedparser.py:178(_call_parse)
     3459    0.001    0.000    0.001    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1689(_ravel_dispatcher)
        1    0.000    0.000    0.001    0.001 /opt/ros/noetic/lib/python3/dist-packages/rospy/impl/simtime.py:71(init_simtime)
     4066    0.001    0.000    0.001    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/multiarray.py:635(result_type)
       26    0.000    0.000    0.001    0.000 /usr/lib/python3.8/email/feedparser.py:218(_parsegen)
        1    0.000    0.000    0.001    0.001 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/data_objects/GraphBase.py:359(get_nodes)
        1    0.001    0.001    0.001    0.001 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/data_objects/GraphBase.py:368(<listcomp>)
      684    0.001    0.000    0.001    0.000 {method 'transpose' of 'numpy.ndarray' objects}
      600    0.001    0.000    0.001    0.000 /opt/ros/noetic/lib/python3/dist-packages/std_msgs/msg/_Float32.py:18(__init__)
     2864    0.001    0.000    0.001    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/function_base.py:21(_linspace_dispatcher)
        7    0.000    0.000    0.001    0.000 /usr/lib/python3.8/configparser.py:601(__init__)
      275    0.000    0.000    0.001    0.000 /usr/lib/python3.8/xml/etree/ElementPath.py:344(iterfind)
      289    0.001    0.000    0.001    0.000 {method 'close' of '_io.BufferedReader' objects}
     2403    0.001    0.000    0.001    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:750(_argpartition_dispatcher)
     1314    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
       13    0.000    0.000    0.001    0.000 /usr/lib/python3.8/xmlrpc/client.py:437(feed)
       26    0.000    0.000    0.001    0.000 {method 'Parse' of 'pyexpat.xmlparser' objects}
     3066    0.001    0.000    0.001    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:993(_argsort_dispatcher)
      601    0.001    0.000    0.001    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/online_graph/src/OnlineTrajectoryHandler.py:478(<listcomp>)
     2864    0.001    0.000    0.001    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2232(_any_dispatcher)
        1    0.000    0.000    0.001    0.001 /opt/ros/noetic/lib/python3/dist-packages/rospy/impl/simtime.py:54(_is_use_simtime)
     1201    0.001    0.000    0.001    0.000 {method 'truncate' of '_io.BytesIO' objects}
     3005    0.001    0.000    0.001    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/lib/twodim_base.py:44(_flip_dispatcher)
        7    0.000    0.000    0.001    0.000 /usr/lib/python3.8/logging/__init__.py:1591(handle)
     2858    0.001    0.000    0.001    0.000 {method 'is_directed' of 'igraph.Graph' objects}
        7    0.000    0.000    0.001    0.000 /usr/lib/python3.8/logging/__init__.py:1645(callHandlers)
       13    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:941(handle)
      600    0.000    0.000    0.000    0.000 /opt/ros/noetic/lib/python3/dist-packages/visualization_msgs/msg/_Marker.py:514(_get_struct_3I)
      601    0.000    0.000    0.000    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/data_objects/GraphBase.py:777(deactivate_filter)
     3066    0.000    0.000    0.000    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/numeric.py:1211(_rollaxis_dispatcher)
        7    0.000    0.000    0.000    0.000 /usr/lib/python3.8/configparser.py:1317(__init__)
        1    0.000    0.000    0.000    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/online_graph/src/VpForwardBackward.py:62(__del__)
     1802    0.000    0.000    0.000    0.000 {method 'remove' of 'collections.deque' objects}
        9    0.000    0.000    0.000    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/data_objects/GraphBase.py:854(search_graph_layer)
        1    0.000    0.000    0.000    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/longitudinal/adaptive_cruise_control.py:8(__init__)
     3066    0.000    0.000    0.000    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:93(_take_dispatcher)
        1    0.000    0.000    0.000    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/longitudinal/adaptive_cruise_control.py:21(set_configs)
        7    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/handlers.py:61(emit)
     1269    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
